X_Scaled,Y_Scaled,Weird_Depth_Scaled,CMI_Depth_Scaled,Zeros,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,Dice_Weird_Depth,Dice_Weird_FileNum,Dice_Weird_SurfElev,Dice_Weird_Thick,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031
-15.7319128,-128.0160272,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-157319.128,-1280160.272
-15.72337489,-128.0160211,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-157233.7489,-1280160.211
-15.71483741,-128.016014,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-157148.3741,-1280160.14
-15.70630057,-128.0160071,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-157063.0057,-1280160.071
-15.69776362,-128.0159999,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156977.6362,-1280159.999
-15.68922579,-128.0159917,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156892.2579,-1280159.917
-15.68068792,-128.0159812,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156806.8792,-1280159.812
-15.67214947,-128.0159653,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156721.4947,-1280159.653
-15.66360918,-128.0159422,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156636.0918,-1280159.422
-15.65506655,-128.0159143,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156550.6655,-1280159.143
-15.64652145,-128.0158818,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156465.2145,-1280158.818
-15.63797332,-128.0158474,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156379.7332,-1280158.474
-15.629422,-128.0158131,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156294.22,-1280158.131
-15.62086722,-128.0157812,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156208.6722,-1280157.812
-15.61230986,-128.0157549,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156123.0986,-1280157.549
-15.60375077,-128.0157343,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-156037.5077,-1280157.343
-15.59518854,-128.015718,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155951.8854,-1280157.18
-15.5866227,-128.0157045,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155866.227,-1280157.045
-15.57805433,-128.0156909,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155780.5433,-1280156.909
-15.56948437,-128.0156756,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155694.8437,-1280156.756
-15.56091353,-128.0156621,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155609.1353,-1280156.621
-15.55234147,-128.0156481,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155523.4147,-1280156.481
-15.54376773,-128.0156325,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155437.6773,-1280156.325
-15.53519197,-128.0156124,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155351.9197,-1280156.124
-15.52661432,-128.0155905,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155266.1432,-1280155.905
-15.51803577,-128.0155721,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155180.3577,-1280155.721
-15.50945489,-128.0155557,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155094.5489,-1280155.557
-15.50087042,-128.0155403,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-155008.7042,-1280155.403
-15.49228404,-128.015525,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-154922.8404,-1280155.25
-15.48369545,-128.0155094,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-154836.9545,-1280155.094
-15.47510411,-128.015491,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-154751.0411,-1280154.91
-15.4665106,-128.0154679,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-154665.106,-1280154.679
-15.45791512,-128.0154393,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-154579.1512,-1280154.393
-15.44931788,-128.0154047,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-154493.1788,-1280154.047
-15.44071818,-128.0153665,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-154407.1818,-1280153.665
-15.43211542,-128.0153289,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-154321.1542,-1280153.289
-15.42351011,-128.0152939,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-154235.1011,-1280152.939
-15.4149019,-128.0152631,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-154149.019,-1280152.631
-15.40629047,-128.0152391,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-154062.9047,-1280152.391
-15.3976775,-128.0152224,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-153976.775,-1280152.224
-15.38906486,-128.0152151,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-153890.6486,-1280152.151
-15.3804525,-128.0152161,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-153804.525,-1280152.161
-15.37183793,-128.0152204,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-153718.3793,-1280152.204
-15.36322147,-128.0152208,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-153632.2147,-1280152.208
-15.35460376,-128.0152137,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-153546.0376,-1280152.137
