X_Scale,Y_Scale,Weird_na,Weird_Depth_na,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031,
-7.676380478,-131.0183853,-9999,-9999,,,,,,-76763.80478,-1310183.853
-7.667237144,-131.0183198,-9999,-9999,,,,,,-76672.37144,-1310183.198
-7.658088737,-131.0182556,-9999,-9999,,,,,,-76580.88737,-1310182.556
-7.648935492,-131.0181903,-9999,-9999,,,,,,-76489.35492,-1310181.903
-7.639776433,-131.0181216,-9999,-9999,,,,,,-76397.76433,-1310181.216
-7.630610876,-131.0180482,-9999,-9999,,,,,,-76306.10876,-1310180.482
-7.621439353,-131.0179714,-9999,-9999,,,,,,-76214.39353,-1310179.714
-7.612261927,-131.0178928,-9999,-9999,,,,,,-76122.61927,-1310178.928
-7.603078814,-131.0178158,-9999,-9999,,,,,,-76030.78814,-1310178.158
-7.593889771,-131.0177445,-9999,-9999,,,,,,-75938.89771,-1310177.445
-7.584695703,-131.0176794,-9999,-9999,,,,,,-75846.95703,-1310176.794
-7.575497176,-131.0176183,-9999,-9999,,,,,,-75754.97176,-1310176.183
-7.566294772,-131.0175615,-9999,-9999,,,,,,-75662.94772,-1310175.615
-7.557088189,-131.017506,-9999,-9999,,,,,,-75570.88189,-1310175.06
-7.54787692,-131.0174508,-9999,-9999,,,,,,-75478.7692,-1310174.508
-7.538660275,-131.017393,-9999,-9999,,,,,,-75386.60275,-1310173.93
-7.529437219,-131.017332,-9999,-9999,,,,,,-75294.37219,-1310173.32
-7.520207994,-131.0172658,-9999,-9999,,,,,,-75202.07994,-1310172.658
-7.510973062,-131.0171964,-9999,-9999,,,,,,-75109.73062,-1310171.964
-7.501733266,-131.0171283,-9999,-9999,,,,,,-75017.33266,-1310171.283
-7.492487939,-131.0170645,-9999,-9999,,,,,,-74924.87939,-1310170.645
-7.48323729,-131.0170046,-9999,-9999,,,,,,-74832.3729,-1310170.046
-7.473981333,-131.0169464,-9999,-9999,,,,,,-74739.81333,-1310169.464
-7.46472116,-131.0168913,-9999,-9999,,,,,,-74647.2116,-1310168.913
-7.455457679,-131.0168388,-9999,-9999,,,,,,-74554.57679,-1310168.388
-7.446188769,-131.0167828,-9999,-9999,,,,,,-74461.88769,-1310167.828
