LineNum,LineFull,unixTime,UTCDate,UTCsod,UTCTime,Latitude,Longitude,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev,DICE_Thickness,DICE_IceBase,DICE_FileNum
L840,L840:2004,1480300572,2016/11/28,9372,02:36:12,-78.2566666369,-179.333890685,-14883.5590635138,-1280160.29685912,-16.622615784827,293.48801832761,-310.110634112437,6
L840,L840:2004,1480300573,2016/11/28,9373,02:36:13,-78.2566772165,-179.337813161,-14795.9056801209,-1280160.15169841,-16.670593498766,293.48801832761,-310.158611826376,6
L840,L840:2004,1480300574,2016/11/28,9374,02:36:14,-78.2566876627,-179.341737004,-14708.2220116779,-1280160.01552738,-19.923317173904,291.1155339046,-311.038851078504,7
L840,L840:2004,1480300575,2016/11/28,9375,02:36:15,-78.2566979231,-179.34566215,-14620.50955123,-1280159.89407426,-17.146765356209,292.81781802578,-309.964583381989,7
L840,L840:2004,1480300576,2016/11/28,9376,02:36:16,-78.2567082035,-179.34958885,-14532.7624305071,-1280159.76481059,-15.37005646743,293.49218732682,-308.86224379425,7
L840,L840:2004,1480300577,2016/11/28,9377,02:36:17,-78.2567185713,-179.353517075,-14444.9812148634,-1280159.62032487,-15.586133138935,293.49317848353,-309.079311622465,7
L840,L840:2004,1480300578,2016/11/28,9378,02:36:18,-78.2567288469,-179.357446581,-14357.1715794477,-1280159.48025978,-16.791037894273,293.49317848358,-310.284216377853,7
L840,L840:2004,1480300579,2016/11/28,9379,02:36:19,-78.2567389372,-179.361376957,-14269.3428194626,-1280159.35472471,-16.923760117979,293.49405904077,-310.417819158749,7
L840,L840:2004,1480300580,2016/11/28,9380,02:36:20,-78.256748782,-179.365308062,-14181.4981546949,-1280159.25028767,-17.00731883492,293.89707271884,-310.90439155376,7
L840,L840:2004,1480300581,2016/11/28,9381,02:36:21,-78.2567583521,-179.36923971,-14093.6417710934,-1280159.1701043,-18.045549243948,293.64849532909,-311.694044573038,7
L840,L840:2004,1480300582,2016/11/28,9382,02:36:22,-78.2567678299,-179.373171763,-14005.7765271887,-1280159.09412025,-18.048926616413,293.64938590332,-311.698312519733,7
L840,L840:2004,1480300583,2016/11/28,9383,02:36:23,-78.2567773916,-179.377104157,-13917.9036410218,-1280159.00298039,-18.020645276333,294.45705372806,-312.477699004393,7
L840,L840:2004,1480300584,2016/11/28,9384,02:36:24,-78.2567870547,-179.381036783,-13830.0255295413,-1280158.89473622,-18.98665099417,294.32734761018,-313.31399860435,7
L840,L840:2004,1480300585,2016/11/28,9385,02:36:25,-78.2567966326,-179.384969606,-13742.1431972967,-1280158.78985744,-19.949950436328,293.13349198204,-313.083442418368,7
L840,L840:2004,1480300586,2016/11/28,9386,02:36:26,-78.2568060961,-179.388902239,-13654.2653236938,-1280158.69145562,-19.87221140586,292.09295940447,-311.96517081033,7
L840,L840:2004,1480300587,2016/11/28,9387,02:36:27,-78.256815531,-179.392834634,-13566.3928792334,-1280158.59010383,-19.752111153487,291.20186525505,-310.953976408537,7
L840,L840:2004,1480300588,2016/11/28,9388,02:36:28,-78.2568250971,-179.396766832,-13478.5247629653,-1280158.46827488,-17.594500866932,289.07171119804,-306.666212064972,7
L840,L840:2004,1480300589,2016/11/28,9389,02:36:29,-78.2568345372,-179.40069877,-13390.6626811403,-1280158.35418248,-17.471812005265,287.33299629413,-304.804808299395,7
L840,L840:2004,1480300590,2016/11/28,9390,02:36:30,-78.256843493,-179.40463044,-13302.8072186957,-1280158.28714925,-17.375724873911,289.82601779697,-307.201742670881,7
L840,L840:2004,1480300591,2016/11/28,9391,02:36:31,-78.2568519705,-179.40856198,-13214.9552749739,-1280158.26654986,-17.29847965197,291.09738377537,-308.39586342734,7
L840,L840:2004,1480300592,2016/11/28,9392,02:36:32,-78.2568601836,-179.412493367,-13127.1071127478,-1280158.26890433,-16.235209056296,291.74642851082,-307.981637567116,7
L840,L840:2004,1480300593,2016/11/28,9393,02:36:33,-78.2568684048,-179.416424664,-13039.2610142288,-1280158.26432097,-16.168983433824,291.81203237886,-307.981015812684,7
L840,L840:2004,1480300594,2016/11/28,9394,02:36:34,-78.2568766675,-179.420355734,-12951.4200039171,-1280158.24910358,-17.103811310975,291.56841269011,-308.672224001085,7
L840,L840:2004,1480300595,2016/11/28,9395,02:36:35,-78.2568849315,-179.424286683,-12863.5817591405,-1280158.22768896,-17.056538467161,292.00423708844,-309.060775555601,7
L840,L840:2004,1480300596,2016/11/28,9396,02:36:36,-78.2568930459,-179.428217546,-12775.7456636151,-1280158.21664673,-17.016130460969,291.2744086034,-308.290539064369,7
L840,L840:2004,1480300597,2016/11/28,9397,02:36:37,-78.2569010621,-179.432148376,-12687.9104742885,-1280158.21034792,-16.986275429712,291.50226990981,-308.488545339522,7
L840,L840:2004,1480300598,2016/11/28,9398,02:36:38,-78.2569090692,-179.436079308,-12600.0730768053,-1280158.19904367,-17.965421995401,291.27505916054,-309.240481155941,7
L840,L840:2004,1480300599,2016/11/28,9399,02:36:39,-78.2569173359,-179.440010297,-12512.2341885739,-1280158.15323383,-17.954713807102,291.77014011399,-309.724853921092,7
L840,L840:2004,1480300600,2016/11/28,9400,02:36:40,-78.2569258714,-179.443941498,-12424.3903429128,-1280158.071942,-17.960823962905,291.11887177482,-309.079695737725,7
L840,L840:2004,1480300601,2016/11/28,9401,02:36:41,-78.2569347284,-179.447872718,-12336.5458027635,-1280157.94934176,-17.947919993621,290.6935995154,-308.641519509021,7
L840,L840:2004,1480300602,2016/11/28,9402,02:36:42,-78.2569439673,-179.451804065,-12248.6980993377,-1280157.77882712,-17.908166838415,290.50399634389,-308.412163182305,7
L840,L840:2004,1480300603,2016/11/28,9403,02:36:43,-78.2569532672,-179.455735756,-12160.8427278151,-1280157.59566241,-16.910367087636,285.17777139221,-302.088138479846,7
L840,L840:2004,1480300604,2016/11/28,9404,02:36:44,-78.2569622805,-179.459667991,-12072.975581179,-1280157.43803745,-16.955219401801,277.41801708144,-294.373236483241,7
L840,L840:2004,1480300605,2016/11/28,9405,02:36:45,-78.2569707852,-179.463600617,-11985.1002999522,-1280157.33028244,-16.980242087637,273.04738304492,-290.027625132557,7
L840,L840:2004,1480300606,2016/11/28,9406,02:36:46,-78.2569789065,-179.467533386,-11897.2222864088,-1280157.25860341,-17.97602414936,273.91135928677,-291.88738343613,7
L840,L840:2004,1480300607,2016/11/28,9407,02:36:47,-78.2569867186,-179.471466423,-11809.3386643064,-1280157.21488206,-17.971340464152,276.05533303726,-294.026673501412,7
L840,L840:2004,1480300608,2016/11/28,9408,02:36:48,-78.25699421,-179.475399705,-11721.4499525163,-1280157.20037465,-17.993784592353,281.24371643133,-299.237501023683,7
L840,L840:2004,1480300609,2016/11/28,9409,02:36:49,-78.2570012141,-179.479333117,-11633.5588798061,-1280157.23334127,-18.006849994638,288.32600897336,-306.332858967998,7
L840,L840:2004,1480300610,2016/11/28,9410,02:36:50,-78.2570079669,-179.483266427,-11545.6703855404,-1280157.28783346,-18.976042871234,290.9819735914,-309.958016462634,7
L840,L840:2004,1480300611,2016/11/28,9411,02:36:51,-78.2570148125,-179.487199858,-11457.7791439628,-1280157.32613103,-18.906683084057,291.13739492293,-310.044078006987,7
L840,L840:2004,1480300612,2016/11/28,9412,02:36:52,-78.2570218903,-179.491133159,-11369.8906297855,-1280157.33288432,-19.8072835235,290.0640071372,-309.8712906607,7
L840,L840:2004,1480300613,2016/11/28,9413,02:36:53,-78.2570291866,-179.495066049,-11282.0111402935,-1280157.30954213,-18.680956299301,277.28421132744,-295.965167626741,7
L840,L840:2004,1480300614,2016/11/28,9414,02:36:54,-78.2570365415,-179.498998442,-11194.1427557902,-1280157.27363873,-19.529087709438,285.94644096446,-305.475528673898,7
L840,L840:2004,1480300615,2016/11/28,9415,02:36:55,-78.2570439509,-179.502930336,-11106.2855266025,-1280157.22562601,-18.361857844566,289.44814418368,-307.810002028246,7
L840,L840:2004,1480300616,2016/11/28,9416,02:36:56,-78.2570513848,-179.506861857,-11018.4366675012,-1280157.16882302,-18.179675656754,273.91570455996,-292.095380216714,7
L840,L840:2004,1480300617,2016/11/28,9417,02:36:57,-78.2570588817,-179.510793003,-10930.5961880585,-1280157.09900567,-17.963933160646,275.43805636745,-293.401989528096,7
