Line,UTCDate,UTCsod,UTCTime,unixTime,Latitude,Longitude,H_Ell,Pitch,Roll,Heading,X_EPSG_3031,Y_EPSG_3031,X,Y,Dist_meters,Dist_km,unix_sec,StartEnd
L140,2016/12/02,77544.655,21:32:25,1480714344.655,-84.5997119651,-171.133324425,853.588,5.739227,-15.666064,87.635189,-90504.1425858806,-580154.791358066,-9.05041425858806,-58.0154791358067,0,0,1480714344,1
L140,2016/12/02,79735,22:08:55,1480716535,-84.1148856161,-155.049058516,812.665,4.157217,12.372037,74.644684,-269967.17060524,-580243.061143643,-26.996717060524,-58.0243061143643,179463.049727325,179.463049727325,1480716535,1
L160,2017/11/27,82394.535,22:53:15,1511823194.535,-84.0294610686,-157.617854398,740.248,4.4559795708,2.7652513976,-120.27901191,-247233.371653775,-600364.063776506,-24.7233371653775,-60.0364063776506,0,0,1511823194,1
L160,2017/11/27,84381,23:26:21,1511825181,-84.4715549973,-175.948064144,784.77,3.0567069187,12.1945472327,-91.7280338567,-42476.0251321768,-599624.109507367,-4.24760251321768,-59.9624109507367,204758.683544524,204.758683544524,1511825181,1
L180,2017/11/27,79173.205,21:59:33,1511819973.205,-84.2994920228,-178.697032021,794.221,3.722649407,-13.6052831615,91.7713792211,-14095.1826842763,-619704.605052267,-1.40951826842763,-61.9704605052267,0,0,1511819973,1
L180,2017/11/27,82141,22:49:01,1511822941,-83.8554975389,-157.933002778,741.602,4.6944723986,8.229358434,112.0727620743,-251047.636722297,-619278.848117339,-25.1047636722297,-61.9278848117339,236952.83653843,236.95283653843,1511822941,1
L190,2015/12/02,2367.18,00:39:27,1449016767.18,-83.7406328362,-157.991874547,793.274,4.515739,11.07193,-128.77077,-255101.219233377,-631139.962253355,-25.5101219233377,-63.1139962253355,0,0,1449016767,1
L190,2015/12/02,5300,01:28:20,1449019700,-84.2018764225,178.5238720675,810.425,2.528591,14.701523,-78.294693,16241.8745828646,-630287.485934526,1.62418745828646,-63.0287485934526,271344.432921782,271.344432921782,1449019700,1
L200,2015/12/03,83236.61,23:07:17,1449184036.61,-83.6224061505,-157.033633214,817.237,4.055916,-0.860495,-124.572303,-270647.425118194,-638647.441434688,-27.0647425118194,-63.8647441434688,0,0,1449184036,1
L200,2015/12/03,86203,23:56:43,1449187003,-84.1025047209,177.1564446562,912.698,4.383056,4.151714,-72.926837,31815.3006628608,-640531.078952624,3.18153006628608,-64.0531078952624,302468.59105898,302.46859105898,1449187003,1
