__X_EPSG_3031,__Y_EPSG_3031,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,H_Ell,Heading,Latitude,LineFull,LineNum,Longitude,NS,PDOP,Pitch,Roll,SIR_FileNum,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,unix_sec,unixTime,UTCDate,UTCsod,UTCTime,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031
-89061.2299753839,-1310571.60352726,,,,,,,,,899.783,-92.650959,-77.9557526913,L870:2005,L870,-176.112383879,9,2.56,4.419341,-2.078211,,,,,,,1480389181,1480389181,2016/11/29,11581,03:13:01,,,,-89040.0871223881,-1310260.47799305
-88972.0132073141,-1310570.65490123,,,,,,,,,899.45,-92.598643,-77.9558163507,L870:2005,L870,-176.116263558,9,2.56,4.000025,-2.693351,,,,,,,1480389182,1480389182,2016/11/29,11582,03:13:02,,,,-88950.8915340955,-1310259.52959221
-88882.5510990233,-1310569.5961518,,,,,,,,,899.009,-92.226336,-77.9558811067,L870:2005,L870,-176.12015363,9,2.56,3.804385,-3.078309,,,,,,,1480389183,1480389183,2016/11/29,11583,03:13:03,,,,-88861.4506638249,-1310258.47109412
-88792.8292495943,-1310568.48528832,,,,,,,,,898.284,-91.984572,-77.9559464408,L870:2005,L870,-176.124054894,9,2.56,4.096933,-2.737959,,,,,,,1480389184,1480389184,2016/11/29,11584,03:13:04,,,,-88771.7501140779,-1310257.36049436
-88702.9092365255,-1310567.44419925,,,,,,,,,897.811,-92.001316,-77.9560112075,L870:2005,L870,-176.12796503,9,2.56,4.284206,-2.355853,,,,,,,1480389185,1480389185,2016/11/29,11585,03:13:05,,,,-88681.8514477345,-1310256.31965245
-88612.8390916999,-1310566.53769694,,,,,,,,,897.544,-92.274209,-77.9560747882,L870:2005,L870,-176.131882138,9,2.56,4.037547,-2.575869,,,,,,,1480389186,1480389186,2016/11/29,11586,03:13:06,,,,-88591.802685275,-1310255.41336533
-88522.5375151562,-1310565.52999007,,,,,,,,,896.961,-92.22827,-77.9561393743,L870:2005,L870,-176.135809062,9,2.56,4.089319,-2.656097,,,,,,,1480389187,1480389187,2016/11/29,11587,03:13:07,,,,-88501.5225460386,-1310254.4058977
-88432.0352084372,-1310564.45375989,,,,,,,,,896.276,-92.032987,-77.9562046497,L870:2005,L870,-176.139744563,9,2.56,4.402449,-2.384174,,,,,,,1480389188,1480389188,2016/11/29,11588,03:13:08,,,,-88411.0417242796,-1310253.329923
-88341.3922464305,-1310563.41319933,,,,,,,,,896.063,-91.870241,-77.9562696308,L870:2005,L870,-176.143686333,9,2.56,4.214189,-1.72148,,,,,,,1480389189,1480389189,2016/11/29,11589,03:13:09,,,,-88320.4202806241,-1310252.28960948
-88250.615844634,-1310562.48105635,,,,,,,,,895.676,-91.615628,-77.9563336521,L870:2005,L870,-176.147634271,9,2.56,4.183275,-1.447749,,,,,,,1480389190,1480389190,2016/11/29,11590,03:13:10,,,,-88229.6654288569,-1310251.35768778
-88159.6767786838,-1310561.75295188,,,,,,,,,895.169,-91.269678,-77.9563958626,L870:2005,L870,-176.151589928,9,2.56,4.674377,-1.706971,,,,,,,1480389191,1480389191,2016/11/29,11591,03:13:11,,,,-88138.7479515521,-1310250.62975616
-88068.6991470044,-1310561.34126414,,,,,,,,,895.449,-91.212806,-77.9564551654,L870:2005,L870,-176.15554823,9,2.56,4.453743,-2.259979,,,,,,,1480389192,1480389192,2016/11/29,11592,03:13:12,,,,-88047.7919176733,-1310250.21816615
-87977.6494244185,-1310561.1880579,,,,,,,,,895.932,-91.54304,-77.9565121071,L870:2005,L870,-176.159510464,9,2.56,4.130331,-2.871826,,,,,,,1480389193,1480389193,2016/11/29,11593,03:13:13,,,,-87956.7638100022,-1310250.06499628
-87886.4267327116,-1310561.0349158,,,,,,,,,896.132,-91.826245,-77.9565690964,L870:2005,L870,-176.163480264,9,2.56,4.384579,-3.133787,,,,,,,1480389194,1480389194,2016/11/29,11594,03:13:14,,,,-87865.5627742724,-1310249.91189054
-87795.0750178596,-1310560.72972541,,,,,,,,,896.208,-91.83699,-77.956627488,L870:2005,L870,-176.167455274,9,2.56,4.687582,-2.95732,,,,,,,1480389195,1480389195,2016/11/29,11595,03:13:15,,,,-87774.2327460273,-1310249.6067726
-87703.6779612286,-1310560.36883338,,,,,,,,,896.661,-91.733515,-77.9566863556,L870:2005,L870,-176.171432134,9,2.56,4.566876,-3.406346,,,,,,,1480389196,1480389196,2016/11/29,11596,03:13:16,,,,-87682.8573867672,-1310249.24596625
-87612.2244727621,-1310559.95835547,,,,,,,,,897.331,-91.933101,-77.9567456503,L870:2005,L870,-176.175411345,9,2.56,4.281014,-4.351761,,,,,,,1480389197,1480389197,2016/11/29,11597,03:13:17,,,,-87591.4256090681,-1310248.83558578
-87520.6351402515,-1310559.21829097,,,,,,,,,897.705,-92.142752,-77.9568079637,L870:2005,L870,-176.17939555,9,2.57,4.4196,-4.429696,,,,,,,1480389198,1480389198,2016/11/29,11598,03:13:18,,,,-87499.858019574,-1310248.09569697
-87428.9501694765,-1310558.18509055,,,,,,,,,898.056,-92.394784,-77.9568729401,L870:2005,L870,-176.183383108,9,2.57,4.650922,-3.354508,,,,,,,1480389199,1480389199,2016/11/29,11599,03:13:19,,,,-87408.1948145198,-1310247.06274183
-87337.2200810434,-1310557.02223477,,,,,,,,,898.631,-92.684331,-77.9569390637,L870:2005,L870,-176.187372297,9,2.57,4.504086,-2.880959,,,,,,,1480389200,1480389200,2016/11/29,11600,03:13:20,,,,-87316.4865025182,-1310245.9001621
-87245.4209476802,-1310555.6766971,,,,,,,,,899.227,-92.691368,-77.9570068306,L870:2005,L870,-176.191364006,9,2.57,4.196806,-2.695209,,,,,,,1480389201,1480389201,2016/11/29,11601,03:13:21,,,,-87224.7091619776,-1310244.55494386
-87153.494243047,-1310554.19783238,,,,,,,,,899.61,-92.509443,-77.9570758277,L870:2005,L870,-176.195360927,9,2.57,4.280839,-2.067781,,,,,,,1480389202,1480389202,2016/11/29,11602,03:13:22,,,,-87132.804280452,-1310243.07643022
-87061.501220094,-1310552.75779734,,,,,,,,,900.031,-92.255624,-77.9571444539,L870:2005,L870,-176.199360893,9,2.57,4.603002,-1.62991,,,,,,,1480389203,1480389203,2016/11/29,11603,03:13:23,,,,-87040.8330963503,-1310241.63673704
-86969.5797917218,-1310551.53393479,,,,,,,,,900.829,-92.135994,-77.9572110149,L870:2005,L870,-176.203358413,9,2.57,4.598891,-1.470972,,,,,,,1480389204,1480389204,2016/11/29,11604,03:13:24,,,,-86948.9334898331,-1310240.41316504
-86877.7754344902,-1310550.53580198,,,,,,,,,901.862,-91.959019,-77.9572753966,L870:2005,L870,-176.207351533,9,2.57,4.163271,-1.363798,,,,,,,1480389205,1480389205,2016/11/29,11605,03:13:25,,,,-86857.1509266642,-1310239.41526917
-86786.0195029155,-1310549.76382683,,,,,,,,,902.317,-91.712504,-77.9573376366,L870:2005,L870,-176.21134324,9,2.57,4.43742,-1.567422,,,,,,,1480389206,1480389206,2016/11/29,11606,03:13:26,,,,-86765.4167776561,-1310238.64347729
-86694.3606755365,-1310549.27532846,,,,,,,,,903.097,-91.614886,-77.957397185,L870:2005,L870,-176.215331578,9,2.57,4.491587,-1.675053,,,,,,,1480389207,1480389207,2016/11/29,11607,03:13:27,,,,-86673.7797097914,-1310238.15509489
-86602.840942036,-1310549.08125305,,,,,,,,,903.999,-91.694184,-77.9574539173,L870:2005,L870,-176.219314748,9,2.57,3.964599,-1.977631,,,,,,,1480389208,1480389208,2016/11/29,11608,03:13:28,,,,-86582.2817027848,-1310237.96106555
-86511.3171570475,-1310549.06113864,,,,,,,,,904.259,-91.766306,-77.9575090139,L870:2005,L870,-176.223298632,9,2.57,4.201727,-2.907532,,,,,,,1480389209,1480389209,2016/11/29,11609,03:13:29,,,,-86490.7796452521,-1310237.94095592
-86419.8164972038,-1310548.96714479,,,,,,,,,904.353,-91.526279,-77.95756471,L870:2005,L870,-176.227281334,9,2.57,4.445598,-2.85027,,,,,,,1480389210,1480389210,2016/11/29,11610,03:13:30,,,,-86399.3007073743,-1310237.84698438
