LineNum,unixTime,X_EPSG_3031,Y_EPSG_3031,Weird_SurfElev,The_Weird,Weird_Depth,Weird_FileNum
L840:2004,1480301881.47,13117790.4440024,-2735721.88232405,-9.0922191738598,276.62116577438,-285.71338494824,167
L840:2004,1480301881.982,13118269.8216628,-2735830.21690315,-9.1874986477479,285.44974775632,-294.637246404068,167
L840:2004,1480301882.494,13118749.3777099,-2735938.43724729,-8.9016602260833,292.99104906137,-301.892709287453,167
L840:2004,1480301886.522,13122527.7677297,-2736789.19033733,-7.9488654872011,294.56302922021,-302.511894707411,167
L840:2004,1480301886.97,13122948.3073682,-2736884.06258666,-8.0441449610894,292.48547379488,-300.529618755969,167
L840:2004,1480301887.482,13123429.0177296,-2736992.53904222,-8.2347039088659,288.05073703715,-296.285440946016,167
L840:2004,1480301887.994,13123909.8113956,-2737101.01821581,-8.4252628566421,282.79016370109,-291.215426557732,167
L840:2004,1480301888.506,13124390.6847084,-2737209.48944278,-8.4252628566421,280.16264867096,-288.587911527602,167
L840:2004,1480301889.018,13124871.6265511,-2737318.01132176,-8.7111012783068,278.65038676946,-287.361488047767,167
L840:2004,1480301889.53,13125352.661353,-2737426.5696236,-8.9016602260833,276.77081589255,-285.672476118633,167
L840:2004,1480301889.978,13125773.645011,-2737521.56152585,-10.616690756071,275.0453088217,-285.661999577771,167
L840:2004,1480301890.49,13126254.8247063,-2737630.18317527,-9.3780575955243,273.69950178572,-283.077559381244,167
L840:2004,1480301891.002,13126735.9813402,-2737738.90647536,-9.7591754910773,273.59518607384,-283.354361564917,167
L840:2004,1480301891.514,13127217.0598823,-2737847.77157264,-9.9497344388536,276.46703754628,-286.416771985134,167
L840:2004,1480301892.026,13127698.0858847,-2737956.78495174,-10.330852334407,282.30686855598,-292.637720890387,167
L840:2004,1480301892.474,13128118.9926977,-2738052.24480605,-10.426131808295,286.98766815583,-297.413799964125,167
L840:2004,1480301892.986,13128600.0044062,-2738161.35158017,-10.426131808295,290.26570710077,-300.691838909065,167
L840:2004,1480301893.69,13129261.5070415,-2738311.38796263,-10.616690756071,294.6642594583,-305.280950214371,167
L840:2004,1480301894.01,13129562.3790218,-2738379.59798177,-10.616690756071,292.1652612201,-302.781951976171,167
L840:2004,1480301894.522,13130044.0044987,-2738488.72258354,-10.807249703848,286.16932566037,-296.976575364218,167
L840:2004,1480301894.97,13130465.6063813,-2738584.1923346,-10.997808651624,281.24524609267,-292.243054744294,167
L840:2004,1480301895.482,13130947.658545,-2738693.26152083,-10.997808651624,276.10403943835,-287.101848089974,167
L840:2004,1480301895.994,13131429.6826338,-2738802.31074525,-11.093088125512,271.25173221255,-282.344820338062,167
