name,project,x,z,,y,,,,,x,y,z
antARctica,,14.1668225,-76.5162725,,0.1,,,,,141668.225,-765162.725,0
antARctica,,13.9084475,-76.3248425,,0.1,,,,,139084.475,-763248.425,0
antARctica,,13.9249275,-76.3474125,,0.1,,,,,139249.275,-763474.125,0
antARctica,,13.96836,-76.4054575,,0.1,,,,,139683.6,-764054.575,0
antARctica,,14.0297375,-76.4846075,,0.1,,,,,140297.375,-764846.075,0
antARctica,,14.1001225,-76.5704475,,0.1,,,,,141001.225,-765704.475,0
antARctica,,14.1905025,-76.682885,,0.1,,,,,141905.025,-766828.85,0
antARctica,,14.298585,-76.8261725,,0.1,,,,,142985.85,-768261.725,0
antARctica,,14.39541,-76.96244,,0.1,,,,,143954.1,-769624.4,0
antARctica,,14.4519525,-77.053785,,0.1,,,,,144519.525,-770537.85,0
antARctica,,14.5088875,-77.1614625,,0.1,,,,,145088.875,-771614.625,0
antARctica,,14.60503,-77.333985,,0.1,,,,,146050.3,-773339.85,0
antARctica,,14.708545,-77.51433,,0.1,,,,,147085.45,-775143.3,0
antARctica,,14.7876225,-77.6454475,,0.1,,,,,147876.225,-776454.475,0
antARctica,,14.875585,-77.78296,,0.1,,,,,148755.85,-777829.6,0
antARctica,,15.000635,-77.979835,,0.1,,,,,150006.35,-779798.35,0
antARctica,,15.123365,-78.1751575,,0.1,,,,,151233.65,-781751.575,0
antARctica,,15.2042975,-78.30797,,0.1,,,,,152042.975,-783079.7,0
antARctica,,15.244995,-78.38811,,0.1,,,,,152449.95,-783881.1,0
antARctica,,15.27671,-78.464745,,0.1,,,,,152767.1,-784647.45,0
antARctica,,15.3044925,-78.5359,,0.1,,,,,153044.925,-785359,0
antARctica,,15.3334725,-78.599635,,0.1,,,,,153334.725,-785996.35,0
antARctica,,15.42766,-78.746765,,0.1,,,,,154276.6,-787467.65,0
antARctica,,15.596485,-78.998585,,0.1,,,,,155964.85,-789985.85,0
antARctica,,15.762965,-79.2488525,,0.1,,,,,157629.65,-792488.525,0
antARctica,,15.8501225,-79.3912975,,0.1,,,,,158501.225,-793912.975,0
antARctica,,15.9093025,-79.5194825,,0.1,,,,,159093.025,-795194.825,0
antARctica,,16.01106,-79.7324475,,0.1,,,,,160110.6,-797324.475,0
antARctica,,16.1073475,-79.93213,,0.1,,,,,161073.475,-799321.3,0
antARctica,,16.1501225,-80.02047,,0.1,,,,,161501.225,-800204.7,0
antARctica,,16.1740725,-80.05901,,0.1,,,,,161740.725,-800590.1,0
antARctica,,16.1980475,-80.0975575,,0.1,,,,,161980.475,-800975.575,0
antARctica,,16.2219975,-80.1361075,,0.1,,,,,162219.975,-801361.075,0
antARctica,,16.2459475,-80.174645,,0.1,,,,,162459.475,-801746.45,0
antARctica,,16.2980225,-80.2725575,,0.1,,,,,162980.225,-802725.575,0
antARctica,,16.3500975,-80.3704825,,0.1,,,,,163500.975,-803704.825,0
antARctica,,16.4021975,-80.468395,,0.1,,,,,164021.975,-804683.95,0
antARctica,,16.4542725,-80.5663075,,0.1,,,,,164542.725,-805663.075,0
antARctica,,18.3632075,-87.15332,,0.1,,,,,183632.075,-871533.2,0
antARctica,,18.4136725,-87.3348875,,0.1,,,,,184136.725,-873348.875,0
antARctica,,18.5269525,-87.75083,,0.1,,,,,185269.525,-877508.3,0
antARctica,,18.64585,-88.2080075,,0.1,,,,,186458.5,-882080.075,0
antARctica,,18.7132075,-88.513305,,0.1,,,,,187132.075,-885133.05,0
antARctica,,18.771485,-88.756275,,0.1,,,,,187714.85,-887562.75,0
antARctica,,18.8719725,-89.08457,,0.1,,,,,188719.725,-890845.7,0
antARctica,,18.9705575,-89.3922375,,0.1,,,,,189705.575,-893922.375,0
antARctica,,19.0232175,-89.573315,,0.1,,,,,190232.175,-895733.15,0
antARctica,,19.0394525,-89.6509775,,0.1,,,,,190394.525,-896509.775,0
antARctica,,19.0557125,-89.71455,,0.1,,,,,190557.125,-897145.5,0
antARctica,,19.0682125,-89.75752,,0.1,,,,,190682.125,-897575.2,0
antARctica,,19.0732175,-89.773315,,0.1,,,,,190732.175,-897733.15,0
antARctica,,18.9732175,-89.69331,,0.1,,,,,189732.175,-896933.1,0
antARctica,,19.0157225,-89.8458,,0.1,,,,,190157.225,-898458,0
antARctica,,19.0582275,-89.998315,,0.1,,,,,190582.275,-899983.15,0
antARctica,,19.1007325,-90.15083,,0.1,,,,,191007.325,-901508.3,0
antARctica,,19.1432375,-90.30332,,0.1,,,,,191432.375,-903033.2,0
antARctica,,19.1332275,-90.473315,,0.1,,,,,191332.275,-904733.15,0
antARctica,,19.12854,-90.4778325,,0.1,,,,,191285.4,-904778.325,0
antARctica,,19.1182125,-90.494555,,0.1,,,,,191182.125,-904945.55,0
antARctica,,19.10791,-90.528125,,0.1,,,,,191079.1,-905281.25,0
antARctica,,19.1032225,-90.5833,,0.1,,,,,191032.225,-905833,0
antARctica,,19.1344725,-90.8728525,,0.1,,,,,191344.725,-908728.525,0
antARctica,,19.2032225,-91.42207,,0.1,,,,,192032.225,-914220.7,0
antARctica,,19.2719725,-91.954395,,0.1,,,,,192719.725,-919543.95,0
antARctica,,19.3032225,-92.19331,,0.1,,,,,193032.225,-921933.1,0
antARctica,,19.3332275,-92.373315,,0.1,,,,,193332.275,-923733.15,0
antARctica,,19.3632325,-92.55332,,0.1,,,,,193632.325,-925533.2,0
antARctica,,19.3932125,-92.7333,,0.1,,,,,193932.125,-927333,0
antARctica,,19.4232175,-92.913305,,0.1,,,,,194232.175,-929133.05,0
antARctica,,19.3432125,-93.1833,,0.1,,,,,193432.125,-931833,0
antARctica,,19.3538325,-93.2436025,,0.1,,,,,193538.325,-932436.025,0
antARctica,,19.3757075,-93.40332,,0.1,,,,,193757.075,-934033.2,0
antARctica,,19.3938475,-93.6305175,,0.1,,,,,193938.475,-936305.175,0
antARctica,,19.3932125,-93.89331,,0.1,,,,,193932.125,-938933.1,0
antARctica,,19.37539,-94.3154775,,0.1,,,,,193753.9,-943154.775,0
antARctica,,19.3557375,-94.8932625,,0.1,,,,,193557.375,-948932.625,0
antARctica,,19.339795,-95.403565,,0.1,,,,,193397.95,-954035.65,0
antARctica,,19.3332525,-95.6232425,,0.1,,,,,193332.525,-956232.425,0
antARctica,,19.2957525,-95.9907475,,0.1,,,,,192957.525,-959907.475,0
antARctica,,19.2582525,-96.3582525,,0.1,,,,,192582.525,-963582.525,0
antARctica,,19.2207525,-96.7257325,,0.1,,,,,192207.525,-967257.325,0
antARctica,,19.1832525,-97.0932375,,0.1,,,,,191832.525,-970932.375,0
antARctica,,15.1333,-78.7132825,,0.1,,,,,151333,-787132.825,0
antARctica,,15.2708,-78.9007825,,0.1,,,,,152708,-789007.825,0
antARctica,,15.4083,-79.0882825,,0.1,,,,,154083,-790882.825,0
antARctica,,15.5458,-79.2757825,,0.1,,,,,155458,-792757.825,0
antARctica,,15.6833,-79.4632825,,0.1,,,,,156833,-794632.825,0
antARctica,,15.763305,-79.6632825,,0.1,,,,,157633.05,-796632.825,0
antARctica,,15.7958,-79.730785,,0.1,,,,,157958,-797307.85,0
antARctica,,15.828295,-79.79828,,0.1,,,,,158282.95,-797982.8,0
antARctica,,15.86079,-79.8657725,,0.1,,,,,158607.9,-798657.725,0
antARctica,,15.893285,-79.9332775,,0.1,,,,,158932.85,-799332.775,0
antARctica,,15.943285,-80.093285,,0.1,,,,,159432.85,-800932.85,0
antARctica,,16.093285,-80.4032825,,0.1,,,,,160932.85,-804032.825,0
antARctica,,16.243285,-80.7132825,,0.1,,,,,162432.85,-807132.825,0
antARctica,,16.393285,-81.02328,,0.1,,,,,163932.85,-810232.8,0
antARctica,,16.543285,-81.3332775,,0.1,,,,,165432.85,-813332.775,0
antARctica,,16.513305,-81.393285,,0.1,,,,,165133.05,-813932.85,0
antARctica,,16.54829,-81.4532725,,0.1,,,,,165482.9,-814532.725,0
antARctica,,16.5833,-81.5132825,,0.1,,,,,165833,-815132.825,0
antARctica,,16.61831,-81.57329,,0.1,,,,,166183.1,-815732.9,0
antARctica,,16.653295,-81.6332775,,0.1,,,,,166532.95,-816332.775,0
antARctica,,16.72329,-81.82329,,0.1,,,,,167232.9,-818232.9,0
antARctica,,16.8007825,-82.005785,,0.1,,,,,168007.825,-820057.85,0
antARctica,,16.878295,-82.1882825,,0.1,,,,,168782.95,-821882.825,0
antARctica,,16.95581,-82.3707775,,0.1,,,,,169558.1,-823707.775,0
antARctica,,17.0333,-82.5532725,,0.1,,,,,170333,-825532.725,0
antARctica,,16.9132825,-81.8032725,,0.1,,,,,169132.825,-818032.725,0
antARctica,,16.9457775,-81.8757825,,0.1,,,,,169457.775,-818757.825,0
antARctica,,16.9782725,-81.9482675,,0.1,,,,,169782.725,-819482.675,0
antARctica,,17.01079,-82.0207525,,0.1,,,,,170107.9,-820207.525,0
